words,count
science,55
search,25
life,24
evolution,20
history,19
man,19
time,19
darwin,18
guide,18
universe,17
human,16
story,15
earth,14
introducing,13
future,11
new,11
world,11
books,10
creation,9
everything,9
brain,8
great,8
mysteries,8
scientific,8
age,7
big,7
edition,7
god,7
language,7
men,7
nature,7
reality,7
space,7
awards,6
bang,6
body,6
brief,6
conversations,6
discovery,6
genes,6
graphic,6
masters,6
mind,6
moon,6
origin,6
p.s,6
physics,6
quest,6
series,6
tales,6
